,gene_symbol,pmid,type_of_biomarker,type_of_rna_biomarker
0,MIR124-1,24861879,RNA Biomarker,miRNA
0,MIR124-2,24861879,RNA Biomarker,miRNA
0,MIR124-3,24861879,RNA Biomarker,miRNA
1,MIR454,25190548,RNA Biomarker,miRNA
2,nan,17233837,Protein Biomarker,
3,EGFR,30187121,DNA Biomarker,
3,TERT,30187121,DNA Biomarker,
4,HOTAIR,29558959,RNA Biomarker,lncRNA
5,MIR301A,29076027,RNA Biomarker,miRNA
6,IL13RA2,22952195,Protein Biomarker,
7,ATRX,31908895,DNA Biomarker,
8,TGFBI,30196284,Protein Biomarker,
9,nan,29099300,Immunological Biomarker,
10,MIR361,30214229,RNA Biomarker,miRNA
11,MAP2,29258767,Protein Biomarker,
11,OLIG2,29258767,Protein Biomarker,
11,OLIG2,29258767,Protein Biomarker,
12,MIR221,27837435,RNA Biomarker,miRNA
13,MIR122,28367610,RNA Biomarker,miRNA
14,MIR29B1,31933806,RNA Biomarker,miRNA
14,MIR29B2,31933806,RNA Biomarker,miRNA
15,MIR193B,31611998,RNA Biomarker,miRNA
16,EGFR,31410219,Protein Biomarker,
17,MIR340,25817794,RNA Biomarker,miRNA
18,MIR1246,31485019,RNA Biomarker,miRNA
19,MIR200B,30197535,RNA Biomarker,miRNA
20,TGFBR2,30279734,RNA Biomarker,mRNA
20,RUNX1,30279734,RNA Biomarker,mRNA
20,PPARG,30279734,RNA Biomarker,mRNA
20,ACSL1,30279734,RNA Biomarker,mRNA
20,GIT2,30279734,RNA Biomarker,mRNA
20,RAP1B,30279734,RNA Biomarker,mRNA
21,PLK1,30995921,DNA Biomarker,
21,CCNA2,30995921,DNA Biomarker,
21,CCNB2,30995921,DNA Biomarker,
21,AURKA,30995921,DNA Biomarker,
22,CBX3,31138312,Protein Biomarker,
23,MGMT,31784096,Epigenic Biomarker,
24,PTCH,20223881,Protein Biomarker,
24,GLI1,20223881,Protein Biomarker,
25,DDX5,32008867,Protein Biomarker,
25,DDX17,32008867,Protein Biomarker,
26,SOX6,15696972,Protein Biomarker,
27,TNC,7523604,Protein Biomarker,
