pmid,doi,journal,publication_time,title,abstract,keywords,gene_symbol,biomarker,description,type_of_biomarker,type_of_rna_biomarker,clinical_use,level_of_evidence,research_region,total_number,male,female,mean_age,age,grade,source,key_experiment,up_regulator,down_effector_or_targets,knowledge_points,disease_type,disease_subtype,disease_classification,sensitivity,specificity,area_under_the_curve,supplementary_statistics
24861879,10.1093/neuonc/nou084,Neuro Oncol,2014,MiR-124 governs glioma growth and angiogenesis and enhances chemosensitivity by targeting R-Ras and N-Ras,"Background. Glioma is one of the most aggressive and lethal human brain tumors. Accumulating evidence shows that microRNAs play important roles in cancers, including glioma. Previous studies reported that miR-124 levels were downregulated in glioma specimens. Here, we further investigate the potential role of miR-124 in glioma. Methods. The expression levels of miR-124 were detected in glioma specimens by quantitative reverse transcriptase PCR. The direct targets of miR-124 were identified by bioinformatics analysis and were further validated by immunoblotting and luciferase reporter assay. The effects of miR-124 on glioma cell proliferation and chemosensitivity to temozolomide were analyzed by Cell-Counting Kit 8 assay. Apoptosis was evaluated by fluorescence activated cell sorting analysis. A xenograft model was used to study the effect of miR-124 on tumor growth and angiogenesis. Results. Expression levels of miR-124 were greatly downregulated in glioma specimens. related Ras viral oncogene homolog (R-Ras) and neuroblastoma Ras viral oncogene homolog (N-Ras) were identified as direct targets of miR-124. MiR-124 inhibited glioma cell growth, invasion, angiogenesis, and tumor growth and increased chemosensitivity to temozolomide treatment by negatively regulating the Ras family and its downstream signaling pathways: phosphatidylinositol-3 kinase/Akt and Raf/extracellular signal-regulated kinase 1/2. Furthermore, overexpression of R-Ras rescued the inhibitory effects of miR-124. Meanwhile, overexpression of R-Ras and N-Ras restored miR-124-inhibited vascular endothelial growth factor (VEGF) transcription activation. In clinical glioma specimens, protein levels of R-Ras and N-Ras were upregulated and inversely correlated with miR-124 expression levels. Conclusions. Taken together, these results revealed that miR-124 levels in tumor tissues are associated with glioma occurrence, angiogenesis, and chemoresistance and that miR-124 may be used as a new diagnostic marker and therapeutic target for glioma in the future.",carcinogenesis; glioma; miR-124; N-Ras; R-Ras,MIR124-1; MIR124-2; MIR124-3,miR-124,"Taken together, these results revealed that miR-124 levels in tumor tissues are associated with glioma occurrence, angiogenesis, and chemoresistance and that miR-124 may be used as a new diagnostic marker and therapeutic target for glioma in the future.",RNA Biomarker,miRNA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",China,24,NA,NA,NA,NA,"II,III,IV",Tissue,qRT-PCR,NA,R-Ras; N-Ras,"1. Downregulation of MiR-124 Expression in Human Gliomas; 2. MiR-124 Overexpression Inhibits Akt and Raf/ERK1/2 Signaling Pathways; 3. R-Ras and N-Ras Have Synergistic Effects to Restore MiR-124 inhibited VEGF Transcriptional Activation; 4. Overexpression of R-Ras Reverses the Inhibitory Effects of MiR-124; 5. Overexpression of MiR-124 Increases Chemosensitivity of Glioma Cells to Temozolomide and Its Apoptotic Induction Effect in the Presence of Temozolomide Through R-Ras and N-Ras; 6. MiR-124 Suppresses Tumor Angiogenesis in Nude Mice; 7. Overexpression of MiR-124 Inhibits Cell Proliferation, Invasion, and Tumor Growth;",Glioma,"Diffuse Astrocytoma,Anaplastic Astrocytoma,Glioblastoma",Glioma,NA,NA,NA,"miR-124 levels were downregulated in these 3 groups compared with the normal brain group (P < .01). Moreover, the levels of miR-124 expression in high-grade tumors (WHO grades III and IV) were significantly lower than those in low-grade tumors (WHO grade II) (P < .05)"
25190548,10.1007/s10072-014-1938-7,Neurol Sci,2015,Plasma miR-454-3p as a potential prognostic indicator in human glioma,"microRNAs (miRNAs) are a class of small non-coding RNAs, approximately 21-25 nucleotides in length.Recently, some researchers have demonstrated that plasma miRNAs are sensitive and specifific biomarkers of various cancers. Using quantitative real-time PCR, the expression levels of miR-454-3p were compared between pre-operative plasmas from 70 glioma patients and 70 healthy controls, and between these pre-operative and post operative plasmas. Kaplan-Meier analysis was used to evaluate the association of miR-454-3p with prognosis of glioma patients. The expression levels of miR-454-3p in plasma in glioma patients were signifificantly higher than that from healthy controls. The expression levels of miR-454-3p were higher in high grade gliomas than in low grade gliomas. The AUC of the expression of miR-454-3p in plasma for glioma diagnosis was 0.9063. The expression levels of miR-454-3p in the post-operative plasmas were signifificantly downregulated when compared to the pre operative plasmas. Moreover, the prognosis of glioma with high miR-454-3p expression was signifificantly worse compared with that of glioma with low miR-454-3p expression. Our results suggested that plasma miR-454-3p could be a novel potential diagnostic biomarker for glioma.",MiR-454-3p; Glioma; Diagnosis; Prognosis,MIR454,miR-454-3p,Plasma miR-454-3p could be a novel potential diagnostic biomarker for glioma.,RNA Biomarker,miRNA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",China,70,36,34,47.2,47.2 ± 5.6,"I,II,III,IV",Plasma,qRT-PCR,NA,NA,1. The expression levels of miR-454-3p in plasma were signiﬁcantly higher than that from healthy controls; 2. The expression levels of miR-4543p in the post-operative plasmas were signiﬁcantly downregulated when compared to the pre-operative plasmas; 3. The prognosis of glioma with high miR-454-3p expression was significantly worse compared with that of glioma with low miR-454-3p expression; 4. Plasma miR-454-3p could be a novel potential diagnostic biomarker for glioma;,Glioma,Glioma,Glioma,0.9905,0.8286,0.9063,"The ROC curves analysis showed that at the optimal cut-off, plasma miR-454-3p had a 99.05 % sensitivity and a 82.86 % specificity and the area under the ROC curve (AUC) was 0.9063 [95 % confidence interval (CI): 0.8487-0.9639)]"
17233837,10.1111/j.1349-7006.2007.00374.x,Cancer Sci,2007,Biomarker discovery: A proteomic approach for  brain cancer profiling,"Gliomas in the form of astrocytomas, anaplastic astrocytomas  and glioblastomas are the most common brain tumors in humans.  Early detection of these cancers is crucial for successful treat ment. Proteomics promises the discovery of biomarkers and tumor  markers for early detection and diagnosis. In the current study, a  differential gel electrophoresis technology coupled with matrix assisted laser desorption/ionization-time of flight and liquid  chromatography-tandem mass spectroscopy was used to investigate  tumor-specific changes in the proteome of human brain cancer. Fifty  human brain tissues comprising varying diagnostic groups (non tumor, grade I, grade II, grade III and grade IV) were run in duplicate  together with an internal pool sample on each gel. The proteins of  interest were automatically picked, in-gel digested and mass  spectrometry fingerprinted. Two hundred and eleven protein spots  were identified successfully and were collapsed into 91 unique  proteins. Approximately 20 of those 91 unique proteins had, to our  knowledge, not been reported previously as differentially expressed  in human brain cancer. Alb protein, peroxiredoxin 4 and SH3  domain-binding glutamic acid-rich-like protein 3 were upregulated  in glioblastoma multiform versus non-tumor tissues. However,  aldolase C fructose-biphosphate, creatine kinase, B chain dihydrolipoyl  dehydrogenase, enolase 2, fumarate hydratase, HSP60, lactoyl glutathione lyase, lucine aminopeptidase, Mu-crystallin homolog,  NADH-UO 24, neurofilament triplet L protein, septin 2, stathmin  and vacuolar ATP synthase subunit E were downregulated in gliobl astoma multiform compared with non-tumor tissues. These differen tially expressed proteins provided novel information on the differences  existing between normal brain and gliomas, and thus might  prove to be useful molecular indicators of diagnostic or prognostic  value.",NA,NA,Alb protein; Peroxiredoxin 4; SH3 domain-binding glutamic acid-rich-like protein 3,"Alb protein, peroxiredoxin 4 and SH3 domain-binding glutamic acid-rich-like protein 3 were upregulated in glioblastoma multiform versus non-tumor tissues.",Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",Egypt,50,NA,NA,NA,NA,"I,II,III,IV",Tissue,A proteomic approach,NA,NA,"1. Alb protein, peroxiredoxin 4 and SH3 domain-binding glutamic acid-rich-like protein 3 were upregulated in glioblastoma multiform versus non-tumor tissues; 2. Aldolase C fructose-biphosphate, creatine kinase, B chain dihydrolipoyl dehydrogenase, enolase 2, fumarate hydratase, HSP60, lactoylglutathione lyase, lucine aminopeptidase, Mu-crystallin homolog, NADH-UO 24, neurofilament triplet L protein, septin 2, stathmin and vacuolar ATP synthase subunit E were downregulated in glioblastoma multiform compared with non-tumor tissues;",Glioma,"Astrocytoma,Oligodendroglioma,Oligoastrocytoma,Glioblastoma",Glioma,NA,NA,NA,NA 
30187121,10.1007/s00401-018-1905-0,Acta Neuropathol,2018,"Distribution of EGFR amplification, combined chromosome 7 gain and chromosome 10 loss, and TERT promoter mutation in brain tumors and their potential for the reclassification of IDHwt astrocytoma to glioblastoma","EGFR amplification (EGFRamp), the combination of gain of chromosome 7 and loss of chromosome 10 (7+/10), and TERT promoter mutation (pTERTmut) are alterations frequently observed in adult IDH-wild-type (IDHwt) glioblastoma (GBM). In the absence of endothelial proliferation and/or necrosis, these alterations currently are considered to serve as a surrogate for upgrading IDHwt diffuse or anaplastic astrocytoma to GBM. Here, we set out to determine the distribution of EGFRamp, 7+/10, and pTERTmut by analyzing high-resolution copy-number profiles and next-generation sequencing data of primary brain tumors. In addition, we addressed the question whether combinations of partial gains on chromosome 7 and partial losses on chromosome 10 exhibited a diagnostic and prognostic value similar to that of complete 7+/10. Several such combinations proved relevant and were combined as the 7/10 signature. Our results demonstrate that EGFRamp and the 7/10 signature are closely associated with IDHwt GBM. In contrast, pTERTmut is less specific for IDHwt GBM. We conclude that, in the absence of endothelial proliferation and/or necrosis, the detection of EGFRamp is a very strong surrogate marker for the diagnosis of GBM in IDHwt di use astrocytic tumors. The 7/10 signature is also a strong surrogate marker. However, care should be taken to exclude pleomorphic xanthoastrocytoma. pTERTmut is less restricted to this entity and needs companion analysis by other molecular markers to serve as a surrogate for diagnosing IDHwt GBM. A combination of any two of EGFRamp, the 7/10 signature and pTERTmut, is highly speci c for IDHwt GBM and the combination of all three alterations is frequent and exclusively seen in IDHwt GBM. ",EGFR amplification; Chromosome 7 gain; Chromosome 10 loss; 7+/10; 7+/10q; TERT promoter mutation; Glioblastoma; Astrocytoma; Pleomorphic xanthoastrocytoma,EGFR; TERT ,EGFRamp; the 7/10 signature; pTERTmut,"A combination of any two of EGFRamp, the 7/10 signature and pTERTmut, is highly specifc for IDHwt GBM and the combination of all  three alterations is frequent and exclusively seen in IDHwt GBM.",DNA Biomarker,NA,Diagnositic,"Tier 4, Biomarker is putative one based on data analysis",Germany,NA,NA,NA,NA,NA,"II,III",Tissue,Panel sequencing,NA,NA,"1. Our results demonstrate that EGFRamp and the 7/10 signature are closely associated with IDHwt GBM; 2. pTERTmut is less specifc for IDHwt GBM; 3. We conclude that, in the absence of endothelial proliferation and/or necrosis, the detection of EGFRamp is a very strong surrogate marker for the diagnosis of GBM in IDHwt diffuse astrocytic tumors; 4. A combination of any two of EGFRamp, the 7/10 signature and pTERTmut, is highly specifc for IDHwt GBM and the combination of all  three alterations is frequent and exclusively seen in IDHwt GBM;",Glioma,The reclassifcation of IDHwt astrocytoma to glioblastoma,Glioma,NA,NA,NA,The sensitivity of any combination of double or triple positives was 58% and the specifcity was 99%
29558959,10.1186/s12943-018-0822-0,Mol Cancer,2018,Serum long noncoding RNA HOTAIR as a novel diagnostic and prognostic biomarker in glioblastoma multiforme,"Glioblastoma multiforme (GBM) is the most common and aggressive malignant adult primary brain tumor. Despite surgical resection followed by radiotherapy and chemotherapy, the median survival rate is approximately 14 months. Although experimental therapies are in clinical trials for GBM, there is an urgent need for a peripheral GBM biomarker for measuring treatment response. As we have previously demonstrated that the long noncoding RNA HOX Transcript Antisense Intergenic RNA, or HOTAIR, is dysregulated in GBM and required for GBM cell proliferation, we hypothesized that HOTAIR expression may be utilized as a peripheral biomarker for GBM. HOTAIR expression was measured in serum from 43 GBM and 40 controls using quantitative real-time PCR (qRT-PCR). The PCR products were subsequently subcloned into pCR4-TOPOTA vectors for DNA sequencing. A ROC curve was also generated to examine HOTAIR's prognostic value. The amount of HOTAIR in serum exosomes and exosome-depleted supernatant was calculated by qRT-PCR. The relative HOTAIR expression was also investigated in 15 pairs of GBM serum and tumors. We detected HOTAIR in serum from GBM patients. HOTAIR levels in serum samples from GBM patients was significantly higher than in the corresponding controls (P < 0.0001). The area under the ROC curve distinguishing GBM patients from controls was 0.913 (95% CI: 0.845-0.982, P < 0. 0001), with 86.1% sensitivity and 87.5% specificity at the cut-off value of 10.8. HOTAIR expression was significantly correlated with high grade brain tumors. In addition, Pearson correlation analysis indicated a medium correlation of serum HOTAIR levels and the corresponding tumor HOTAIR levels (r = 0.734, P < 0.01). We confirmed via sequencing that the amplified HOTAIR from serum contained the HOTAIR sequence and maps to the known HOTAIR locus at 12q13. The serum-derived exosomes contain HOTAIR and the purified exosomes were validated by western blot and nanoparticle tracking analysis. Importantly, our results demonstrate that serum HOTAIR can be used as a novel prognostic and diagnostic biomarker for GBM.",Glioblastoma; Long noncoding RNA; HOTAIR; Biomarker; Cancer,HOTAIR,HOTAIR,serum HOTAIR can be used as a novel prognostic and diagnostic biomarker for GBM.,RNA Biomarker,lncRNA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",USA,63,NA,NA,NA,NA,NA,Serum,qRT-PCR,NA,NA,1. HOTAIR expression is higher in serum isolated from GBM patients relative to controls; 2. Serum HOTAIR has good diagnostic value as a GBM biomarker; 3. The levels of HOTAIR are positively correlated in tumors and serum isolated from GBM patients; 4. Sequence of qRT-PCR products amplified from GBM serum maps to human HOTAIR locus;,Glioblastoma,Glioblastoma,Glioblastoma / Astrocytoma,0.861,0.875,0.913,"The area under the ROC curve distinguishing GBM patients from controls was 0.913 (95% CI: 0.845-0.982, P < 0.0001), with 86.1% sensitivity and 87.5% specificity at the cut-off value of 10.8. "
29076027,10.1007/s13402-017-0355-3,Cell Oncol (Dordr),2017,Serum exosomal miR-301a as a potential diagnostic and prognostic biomarker for human glioma,"Purpose Exosomal miRNAs that play an important role in cellcell communication have attracted major attention as potential diagnostic and prognostic biomarkers for various cancers. The aim of this study was to determine the diagnostic/prognostic significance of serum exosomal miR-301a in glioma patients. Methods Quantitative real-time PCR was used to determine the serum exosomal expression levels of miR-301a. KaplanMeier survival analyses, Cox regression analyses and ROC working curve analyses were applied to assess the diagnostic and prognostic values of miR-301a in glioma patients. Also, several in vitro assays were used, including proliferation, invasion and cell signaling assays.",Glioma; Serum; Exosome; Biomaker; miR-301a,MIR301A,miR-301a,Serum exosomal miR-301a expression may serve as a novel biomarker for glioma diagnosis and as a prognostic factor for advanced grade disease.,RNA Biomarker,miRNA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",China,60,27,33,46,46 (30-72),"I,II,III,IV",Serum,qRT-PCR,NA,PTEN,1. Serum exosomes from GBM patients promote the proliferation and invasion of H4 cells; 2. Serum exosomal miR-301a serves as a diagnostic biomarker; 3. Serum exosomal miR-301a expression levels are higher in glioma patients than in other brain tumor patients; 4. Exosomal miR-301a levels reflect tumor dynamics in matched GBM serum samples; 5. Serum exosomal miR-301a expression levels are associated with clinicopatholigcal features; 6. ROC and Kaplan-Meier analyses reveal diagnostic and prognostic relevance of tumor-derived miR-301a levels; 7. miR-301a downregulates PTEN expression in glioma cells;,Glioma,"Glioma,Glioblastoma",Glioma,0.862,0.932,0.937,"We found that the area under the curve (AUC) for exosomal miR-301a was 0.937 (95% CI: 0.855-0.987), whereas the sensitivity, specificity, and positive and negative predictive values to identify patients with glioma were 86.2%, 93.2%, 95.4% and 66.8%, respectively."
22952195,10.1093/neuonc/nos211,Neuro Oncol,2012,A novel ligand delivery system to non-invasively visualize and therapeutically exploit the IL13Ra2 tumor-restricted biomarker,"Our objective was to exploit a novel ligand-based delivery system for targeting diagnostic and therapeutic agents to cancers that express interleukin 13 receptor alpha 2 (IL13Ra2),a tumor-restricted plasma membrane receptor overexpressed in glioblastoma multiforme (GBM),meningiomas, peripheral nerve sheath tumors, and other peripheral tumors. On the basis of our prior work, we designed a novel IL13Ra2-targeted quadruple mutant of IL13 (TQM13) to selectively bind the tumor-restricted IL13Ra2 with high affinity but not significantly interact with the physiologically abundant IL13Ra1/IL4Ra heterodimer that is also expressed in normal brain. We then assessed the in vitro binding profile of TQM13 and its potential to deliver diagnostic and therapeutic radioactivity in vivo. Surface plasmon resonance (SPR; Biacore) binding experiments demonstrated that TQM13 bound strongly to recombinant IL13Ra2 (Kd5 nM). In addition, radiolabeled TQM13 specifically bound IL13Ra2-expressing GBM cells and specimens but not normal brain. Of importance, TQM13 did not functionally activate IL13Ra1/IL4Ra in cells or bind to it in SPR binding assays,in contrast to wtIL13. Furthermore, in vivo targeting of systemically delivered radiolabeled TQM13 to IL13Ra2-expressing subcutaneous tumors was demonstrated and confirmed non-invasively for the first time with 124I-TQM13 positron emission tomography imaging. In addition, 131I-TQM13 demonstrated in vivo efficacy against subcutaneous IL13Ra2-expressing GBM tumors and in an orthotopic synergeic IL13Ra2-positive murine glioma model, as evidenced by statistically significant survival advantage. Our results demonstrate that we have successfully generated an optimized biomarker-targeted scaffolding that exhibited specific binding activity toward the tumor-associated IL13Ra2 in vitro and potential to deliver diagnostic and therapeutic payloads in vivo.",glioblastoma multiforme; interleukin-13 receptor; PET; radioimmunotherapy,IL13RA2,IL13RA2,Interleukin 13 receptor alpha 2 (IL13Ra2) is an attractive GBM associated biomarker that we and others have previously identified to be overexpressed in approximately 75% of GBMs but not in normal brain tissue or significantly on other organ sites except the testes.,Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",USA,NA,NA,NA,NA,NA,NA,Tissue,"Immunohistochemistry,Western Blot",NA,NA,"1. Interleukin 13 receptor alpha 2 (IL13Ra2) is an attractive GBM associated biomarker; 2. We designed a novel IL13Ra2-targeted quadruple mutant of IL13 (TQM13) to selectively bind the tumor-restricted IL13Ra2 with high affinity but not significantly interact with the physiologically abundant IL13Ra1/IL4Ra heterodimer that is also expressed in normal brain; 3. TQM13 bound strongly to recombinant IL13Ra2; 4. Radiolabeled TQM13 specifically bound IL13Ra2-expressing GBM cells and specimens but not normal brain; 5. TQM13 did not functionally activate IL13Ra1/IL4Ra in cells or bind to it in SPR binding assays, in contrast to wtIL13; 6. In vivo targeting of systemically delivered radiolabeled TQM13 to IL13Ra2-expressing subcutaneous tumors was demonstrated and confirmed non-invasively for the first time with 124I-TQM13 positron emission tomography imaging; 7. 131I-TQM13 demonstrated in vivo efficacy against subcutaneous IL13Ra2-expressing GBM tumors and in an orthotopic synergeic IL13Ra2- positive murine glioma model, as evidenced by statistically significant survival advantage;",Glioblastoma,Glioblastoma,Glioblastoma / Astrocytoma,NA,NA,NA,NA
31908895,10.20892/j.issn.2095-3941.2019.0143,Cancer Biol Med,2019,Omics-based integrated analysis identified ATRX as a biomarker associated with glioma diagnosis and prognosis,"ATRX is a multifunctional protein that is tightly regulated by and implicated in transcriptional regulation and chromatin remodeling. Numerous studies have shown that genetic alterations in ATRX play a significant role in gliomas. This study aims to further determine the relationship between ATRX and glioma prognosis and identify possible mechanisms for exploring the biological significance of ATRX using large data sets.  Methods: We used The Cancer Genome Atlas (TCGA) database and 130 immunohistochemical results to confirm the difference in ATRX mutations in high- and low-grade gliomas. An online analysis of the TCGA glioma datasets using the cBioPortal platform was performed to study the relationship between ATRX mutations and IDH1, TP53, CDKN2A and CDKN2B mutations in the corresponding TCGA glioma dataset. In combination with clinical pathology data, the biological significance of the relationships were analyzed. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway analyses and annotations of all adjacent genes in the network were performedin the Database for Annotation, Visualization and Integrated Discovery (DAVID) and R language. A protein-protein interaction (PPI) network was constructed, and the interactions of all adjacent nodes were analyzed by the String database and using Cytoscape software.  Results: In the selected TCGA glioma datasets, a total of 2,228 patients were queried, 21% of whom had ATRX alterations, which co-occurred frequently with TP53 and IDH1 mutations. ATRX alterations are associated with multiple critical molecular events, which results in a significantly improved overall survival (OS) rate. In low-grade gliomas, ATRX mutations are significantly associated with multiple important molecular events, such as ZNF274 and FDXR at mRNA and protein levels. A functional cluster analysis revealed that these genes played a role in chromatin binding and P53, and a link was observed between ATRX and IDH1 and TP53 in the interaction network. ATRX and TP53 are important nodes in the network and have potential links with the blood oxygen imbalance.  Conclusions: ATRX mutations have clinical implications for the molecular diagnosis of gliomas and can provide diagnostic and prognostic information for gliomas. ATRX is expected to serve as a new therapeutic target.",ATRX; mutation; copy number variation; glioma; biomarkers,ATRX,ATRX,ATRX mutations have clinical implications for the molecular diagnosis of gliomas and can provide diagnostic and prognostic information for gliomas. ATRX is expected to serve as a new therapeutic target.,DNA Biomarker,NA,"Diagnositic,Prognostic","Tier 4, Biomarker is putative one based on data analysis",China,130,NA,NA,NA,NA,"I,II,III,IV",Tissue,Immunohistochemistry,NA,NA,1. Comutation of ATRX with IDH1 and TP53 mainly occurs in LGG; 2. ATRX mutation is associated with glioma prognosis; 3. ATRX loss in different grades of glioma; 4. ATRX mutations are associated with multiple molecular events in LGGs;,Glioma,Glioma,Glioma,NA,NA,NA,"In the selected TCGA glioma datasets, a total of 2,228 patients were queried, 21% of whom had ATRX alterations, which co-occurred frequently with TP53 and IDH1 mutations"
30196284,10.1159/000493293,Cell Physiol Biochem,2018,Enhanced Expression of TGFBI Promotes the Proliferation and Migration of Glioma Cells,"Transforming growth factor beta-induced protein (TGFBI) is an extracellular matrix protein induced by TGF-β. Previous studies have reported that the abnormal expression of TGFBI is related to the occurrence and development of some types of cancers, while the role of TGFBI in glioma is uncertain. Methods: The association between TGFBI expression and the prognosis of patients with glioma was analyzed based on data obtained from The Cancer Genome Atlas database. TGFBI expression was analyzed in 3 normal human brains and 57 cases of human gliomas by immunohistochemistry followed by an evaluation of the relationships between TGFBI expression and clinic-pathological features. Furthermore, the RNA interference plasmid pSUPER-shTGFBI was constructed and transfected into U87 and U251 cells to explore the effect of short hairpin RNA against TGFBI (shTGFBI) on cell proliferation, migration, invasion and apoptosis. Western blot analysis was performed to examine the expression of proteins related to apoptosis and proteins in the PI3K/Akt signaling pathway. Results: High TGFBI expression was found to be associated with poor prognosis in patients with glioblastoma multiforme. Immunohistochemistry showed that TGFBI expression was significantly higher in glioma tissue than in normal human brain tissues. The expression level of TGFBI showed no significant correlation with age, sex, lymph-node metastasis, or pathological grade. sh-TGFBI could inhibit proliferation, invasion and migration and induce apoptosis in U87 and U251 cells in vitro. Furthermore, the phosphorylation levels of AKT and mTOR declined significantly in sh-TGFBI transfected U81 and U251 cells when compared with control. Conclusion: TGFBI was up-regulated in glioma cells and played a promoting role in the growth and motility of U87 and U251 cells. These results suggested that TGFBI has the potential to be a diagnostic marker and to serve as a target for the treatment of gliomas.",TGFBI; Glioma; Proliferation; Migration; PI3K/Akt signaling pathway,TGFBI,TGFBI,TGFBI has the potential to be a diagnostic marker and to serve as a target for the treatment of gliomas.,Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",China,NA,19,14,NA,NA,"I,II,III",Tissue,"Immunohistochemistry,qRT-PCR",NA,NA,"1. High TGFBI expression was found to be associated with poor prognosis in patients with glioblastoma multiforme; 2. Immunohistochemistry showed that TGFBI expression was significantly higher in glioma tissue than in normal human brain tissues; 3. The expression level of TGFBI showed no significant correlation with age, sex, lymph-node metastasis, or pathological grade; 4. sh-TGFBI could inhibit proliferation, invasion and migration and induce apoptosis in U87 and U251 cells in vitro; 5. The phosphorylation levels of AKT and mTOR declined significantly in sh-TGFBI transfected U81 and U251 cells when compared with control;",Glioma,"GBM,LGG,Astrocytoma",Glioma,NA,NA,NA,TGFBI expression was significantly higher in glioma tissue than in normal human brains (p< 0.05).
29099300,10.3171/2017.3.JNS161648,J Neurosurg,2017,Diagnostic value of preoperative inflammatory markers in patients with glioma: a multicenter cohort study,"Glioma is the most common form of brain tumor and has high lethality. The authors of this study aimed to elucidate the efficiency of preoperative inflammatory markers, including neutrophil/lymphocyte ratio (NLR), derived NLR (dNLR), platelet/lymphocyte ratio (PLR), lymphocyte/monocyte ratio (LMR), and prognostic nutritional index (PNI), and their paired combinations as tools for the preoperative diagnosis of glioma, with particular interest in its most aggressive form, glioblastoma (GBM).  METHODS The medical records of patients newly diagnosed with glioma, acoustic neuroma, meningioma, or nonlesional epilepsy at 3 hospitals between January 2011 and February 2016 were collected and retrospectively analyzed. The values of NLR, dNLR, PLR, LMR, and PNI were compared among patients suffering from glioma, acoustic neuroma, meningioma, and nonlesional epilepsy and healthy controls by using nonparametric tests. Correlations between NLR, dNLR, PLR, LMR, PNI, and tumor grade were analyzed. Receiver operating characteristic (ROC) curve analysis was performed to evaluate the diagnostic significance of NLR, dNLR, PLR, LMR, PNI, and their paired combinations for glioma, particularly GBM.  RESULTS A total of 750 patients with glioma (Grade I, 81 patients; Grade II, 208 patients; Grade III, 169 patients; Grade IV [GBM], 292 patients), 44 with acoustic neuroma, 271 with meningioma, 102 with nonlesional epilepsy, and 682 healthy controls were included in this study. Compared with healthy controls and patients with acoustic neuroma, meningioma, or nonlesional epilepsy, the patients with glioma had higher values of preoperative NLR and dNLR as well as lower values of LMR and PNI, whereas PLR was higher in glioma patients than in healthy controls and patients with nonlesional epilepsy. Subgroup analysis revealed a positive correlation between NLR, dNLR, PLR, and tumor grade but a negative correlation between LMR, PNI, and tumor grade in glioma. For glioma diagnosis, the area under the curve (AUC) obtained from the ROC curve was 0.722 (0.697-0.747) for NLR, 0.696 (0.670-0.722) for dNLR, 0.576 (0.549-0.604) for PLR, 0.760 (0.738-0.783) for LMR, and 0.672 (0.646-0.698) for PNI. The best diagnostic performance was obtained with the combination of NLR+LMR and dNLR+LMR, with AUCs of 0.777 and 0.778, respectively. Additionally, NLR (AUC 0.860, 95% CI 0.832-0.887), dNLR (0.840, 0.810-0.869), PLR (0.678, 0.641-0.715), LMR (0.837, 0.811-0.863), and PNI (0.740, 0.706-0.773) had significant predictive value for GBM compared with healthy controls and other disease groups. As compared with the Grade I-III glioma patients, the GBM patients had an AUC of 0.811 (95% CI 0.778-0.844) for NLR, 0.797 (0.763-0.832) for dNLR, 0.662 (0.622-0.702) for PLR, 0.743 (0.707-0.779) for LMR, and 0.661(0.622-0.701) for PNI. For the paired combinations, NLR+LMR demonstrated the highest accuracy.  CONCLUSIONS The NLR+LMR combination was revealed as a noninvasive biomarker with relatively high sensitivity and specificity for glioma diagnosis, the differential diagnosis of glioma from acoustic neuroma and meningioma, GBM diagnosis, and the differential diagnosis of GBM from low-grade glioma.",glioma; glioblastoma; biomarkers; neutrophil lymphocyte ratio; lymphocyte monocyte ratio; oncology,NA,Neutrophil-to-lymphocyte ratio (NLR) + Lymphocyte-to-monocyte ratio (LMR),"The NLR+LMR combination was revealed as a noninvasive biomarker with relatively high sensitivity and specificity for glioma diagnosis, the differential diagnosis of glioma from acoustic neuroma and meningioma, GBM diagnosis, and the differential diagnosis of GBM from low-grade glioma.",Immunological Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",China,750,416,334,NA,43(1-85),"I,II,III,IV",Peripheral blood,"Routine blood test,hepatic function test",NA,NA,"1. Compared with healthy controls and patients with acoustic neuroma, meningioma, or nonlesional epilepsy, the patients with glioma had higher values of preoperative NLR and dNLR as well as lower values of LMR and PNI, whereas PLR was higher in glioma patients than in healthy controls and patients with nonlesional epilepsy; 2. Subgroup analysis revealed a positive correlation between NLR, dNLR, PLR, and tumor grade but a negative correlation between LMR, PNI, and tumor grade in glioma; 3. The best diagnostic performance was obtained with the combination of NLR+LMR and dNLR+LMR, with AUCs of 0.777 and 0.778, respectively; 4. For the paired combinations, NLR+LMR demonstrated the highest accuracy;",Glioma,"Glioma,Glioblastoma",Glioma,NA,NA,0.777,"The best diagnostic performance was obtained with the combination of NLR+LMR and dNLR+LMR, with AUCs of 0.777 and 0.778, respectively."
